
全部,#genre#
CCTV-12HD,rtsp://122.191.50.135/PLTV/88888888/224/3221225523/10000100000000060000000000007516_0.smil?icpid=SSPID&accounttype=1&limitflux=-1&limitdur=-1&accountinfo=YzciLOiHwWbmRgUSxz3e6hCi4lpeRMrSXWoxkGwRp/oI1F9vGlsQSuAJ8Hw05Yj+D1kthYaaS45ZirkZ0k8jCqcXB7NUqJ6Dq7wCHkM4Pg1WoBzh00lAt8RUk6zlS4f1SLgL3oAJ43DdXqfkJPW++NUz1KGUp3zp4HERJD1UA2w=:20221027140837,
CCTV-13HD,rtsp://122.191.50.135/PLTV/88888888/224/3221226143/10000100000000060000000011287863_0.smil?icpid=SSPID&accounttype=1&limitflux=-1&limitdur=-1&accountinfo=YzciLOiHwWbmRgUSxz3e6hCi4lpeRMrSXWoxkGwRp/oI1F9vGlsQSuAJ8Hw05Yj+D1kthYaaS45ZirkZ0k8jCqcXB7NUqJ6Dq7wCHkM4Pg1WoBzh00lAt8RUk6zlS4f1M5b5Wjr/qt6HpaBrAf2++9Uz1KGUp3zp4HERJD1UA2w=:20221027140837,
CCTV-14HD,rtsp://122.191.50.135/PLTV/88888888/224/3221225529/10000100000000060000000000007514_0.smil?icpid=SSPID&accounttype=1&limitflux=-1&limitdur=-1&accountinfo=YzciLOiHwWbmRgUSxz3e6hCi4lpeRMrSXWoxkGwRp/oI1F9vGlsQSuAJ8Hw05Yj+D1kthYaaS45ZirkZ0k8jCqcXB7NUqJ6Dq7wCHkM4Pg1WoBzh00lAt8RUk6zlS4f1SLgL3oAJ43DdXqfkJPW++FZL22zGptCYi6MyJJtyOac=:20221027140837,
CCTV-15,rtsp://122.191.50.135/PLTV/88888888/224/3221225532/10000100000000060000000000007513_0.smil?icpid=SSPID&accounttype=1&limitflux=-1&limitdur=-1&accountinfo=YzciLOiHwWbmRgUSxz3e6hCi4lpeRMrSXWoxkGwRp/oI1F9vGlsQSuAJ8Hw05Yj+D1kthYaaS45ZirkZ0k8jCqcXB7NUqJ6Dq7wCHkM4Pg1WoBzh00lAt8RUk6zlS4f1G+tGFskN59APyKfXApq4ttj4QV0kTukr7QVhRERY1Ac=:20221027140837,
CCTV-NEWS,rtsp://122.191.50.135/PLTV/88888888/224/3221225535/10000100000000060000000000007512_0.smil?icpid=SSPID&accounttype=1&limitflux=-1&limitdur=-1&accountinfo=YzciLOiHwWbmRgUSxz3e6hCi4lpeRMrSXWoxkGwRp/oI1F9vGlsQSuAJ8Hw05Yj+D1kthYaaS45ZirkZ0k8jCqcXB7NUqJ6Dq7wCHkM4Pg1WoBzh00lAt8RUk6zlS4f1G+tGFskN59APyKfXApq4ttycE3QM6COEN9pTB3VsSgM=:20221027140837,
CCTV-17HD,rtsp://122.191.50.135/PLTV/88888888/224/3221225871/10000100000000060000000003075841_0.smil?icpid=SSPID&accounttype=1&limitflux=-1&limitdur=-1&accountinfo=YzciLOiHwWbmRgUSxz3e6hCi4lpeRMrSXWoxkGwRp/oI1F9vGlsQSuAJ8Hw05Yj+D1kthYaaS45ZirkZ0k8jCqcXB7NUqJ6Dq7wCHkM4Pg1WoBzh00lAt8RUk6zlS4f1Gvqg+zME5k6HTHVnRg17AlD1spHHL14ehiGy5Op6phw=:20221027140837,
CCTV5＋HD,rtsp://122.191.50.135/PLTV/88888888/224/3221225562/10000100000000060000000000007619_0.smil?icpid=SSPID&accounttype=1&limitflux=-1&limitdur=-1&accountinfo=YzciLOiHwWbmRgUSxz3e6hCi4lpeRMrSXWoxkGwRp/oI1F9vGlsQSuAJ8Hw05Yj+D1kthYaaS45ZirkZ0k8jCqcXB7NUqJ6Dq7wCHkM4Pg1WoBzh00lAt8RUk6zlS4f1+nnCydyUOiDSrr0790FaV9j4QV0kTukr7QVhRERY1Ac=:20221027140837,
CCTV-16HD,rtsp://122.191.50.135/PLTV/88888888/224/3221226176/10000100000000060000000013492039_0.smil?icpid=SSPID&accounttype=1&limitflux=-1&limitdur=-1&accountinfo=YzciLOiHwWbmRgUSxz3e6hCi4lpeRMrSXWoxkGwRp/oI1F9vGlsQSuAJ8Hw05Yj+D1kthYaaS45ZirkZ0k8jCqcXB7NUqJ6Dq7wCHkM4Pg1WoBzh00lAt8RUk6zlS4f1KfCWYHiegQtFMVEu32dJxUG1BIf7qH77pOX07AAAgDw=:20221027140837,
湖北卫视HD,rtsp://122.191.50.135/PLTV/88888888/224/3221225570/10000100000000060000000000015620_0.smil?icpid=SSPID&accounttype=1&limitflux=-1&limitdur=-1&accountinfo=YzciLOiHwWbmRgUSxz3e6hCi4lpeRMrSXWoxkGwRp/oI1F9vGlsQSuAJ8Hw05Yj+D1kthYaaS45ZirkZ0k8jCqcXB7NUqJ6Dq7wCHkM4Pg1WoBzh00lAt8RUk6zlS4f1NgbeeyvI3WCfohYC5vCJ0rop07JDUBsiHchUvcAYjIo=:20221027140837,
湖北经视HD,rtsp://122.191.50.135/PLTV/88888888/224/3221225684/10000100000000060000000000404037_0.smil?icpid=SSPID&accounttype=1&limitflux=-1&limitdur=-1&accountinfo=YzciLOiHwWbmRgUSxz3e6hCi4lpeRMrSXWoxkGwRp/oI1F9vGlsQSuAJ8Hw05Yj+D1kthYaaS45ZirkZ0k8jCqcXB7NUqJ6Dq7wCHkM4Pg1WoBzh00lAt8RUk6zlS4f1eKJOwl0H2tqYBpLUse8HUpS7Y4rQqzF9Qnj6LWWhRGk=:20221027140837,
